Transaction_ID,event_date,Scenario,Asset_Class,Sub_Asset_Class,Variable_X,Variable_Y,Underlying_Asset_Price,Option_Strike_Price,Risk_Free_Rate,Time_To_Maturity,Asset_Volatility,Return_Asset1,Return_Asset2,Return_Asset3,Weight_Asset1,Weight_Asset2,Weight_Asset3,Portfolio_Return,Cash_Flow_Period1,Cash_Flow_Period2,Cash_Flow_Period3,Bond_Yield,CashFlow_TimePeriod1,CashFlow_TimePeriod2,CashFlow_TimePeriod3,Probability_Default,Loss_Given_Default,Exposure_At_Default,Bid_Price,Ask_Price,Base_Asset_Value,Stressed_Asset_Value,Stress_Exposure,Gross_Income,Asset_Risk_Weight,Additional_Liquidity_Risk,Time_Series_Lag_Value,Current_Time_Series_Value
1,08/09/2025,Stressed,Equity,Common Stock,5.12,8.95,117.07,125.69,0.023,1.34,0.21,0.037,0.06,0.022,0.26,0.39,0.35,0.057,5.0,6.0,108.0,0.03,3.0,2.0,2.0,0.016,0.69,1001.0,96.85,97.5,116.95,115.24,146.0,645946.0,0.25,0.08,11.9,13.0
2,23/12/2026,Stressed,Alternative,Private Equity,4.35,8.65,120.92,129.41,0.046,2.23,0.28,0.056,0.087,0.033,0.31,0.4,0.29,0.065,7.0,4.0,106.0,0.041,1.0,2.0,2.0,0.047,0.61,966.0,101.49,103.14,101.12,98.98,146.0,580233.0,0.21,0.08,12.8,14.2
3,21/10/2026,Base,Fixed Income,Municipal Bond,6.29,7.06,99.87,112.45,0.028,1.67,0.38,0.052,0.038,0.1,0.35,0.23,0.42,0.032,4.0,7.0,108.0,0.038,1.0,2.0,3.0,0.031,0.69,1158.0,95.23,96.81,113.63,112.06,135.0,628192.0,0.21,0.06,12.3,14.2
4,04/06/2026,Monte Carlo,Derivative,Swap,8.56,9.48,101.94,115.56,0.038,0.81,0.35,0.063,0.082,0.062,0.2,0.3,0.5,0.031,8.0,8.0,108.0,0.036,1.0,3.0,3.0,0.013,0.55,921.0,110.21,111.86,102.57,101.12,141.0,553011.0,0.29,0.06,11.1,12.2
5,19/11/2026,Base,Fixed Income,Municipal Bond,7.25,7.75,110.7,94.84,0.027,1.18,0.32,0.038,0.038,0.026,0.39,0.27,0.34,0.075,7.0,4.0,102.0,0.043,1.0,1.0,3.0,0.033,0.54,1135.0,111.15,111.94,101.94,100.58,138.0,593405.0,0.27,0.07,14.9,15.1
6,22/04/2025,Base,Commodity,Agriculture,5.24,6.76,107.94,106.88,0.028,1.0,0.38,0.055,0.089,0.064,0.22,0.5,0.28,0.072,8.0,8.0,108.0,0.033,2.0,1.0,2.0,0.012,0.51,1196.0,100.3,101.98,109.1,107.75,149.0,699085.0,0.26,0.07,10.8,11.4
7,28/02/2025,Stressed,Equity,Common Stock,4.25,7.91,126.78,111.25,0.022,1.52,0.37,0.025,0.025,0.089,0.32,0.48,0.2,0.058,6.0,4.0,101.0,0.043,2.0,2.0,2.0,0.037,0.49,980.0,97.62,99.09,109.14,106.78,149.0,501863.0,0.26,0.06,10.5,11.6
8,24/12/2025,Base,Alternative,Private Equity,8.4,9.52,104.78,96.31,0.045,1.91,0.32,0.099,0.072,0.021,0.45,0.29,0.26,0.063,8.0,5.0,101.0,0.032,2.0,2.0,2.0,0.039,0.46,1090.0,100.28,101.51,118.11,115.92,132.0,584715.0,0.23,0.04,13.9,15.2
9,19/07/2026,Stressed,Derivative,Option,7.53,8.24,94.47,127.8,0.041,0.8,0.21,0.05,0.064,0.054,0.21,0.31,0.48,0.077,8.0,4.0,104.0,0.044,2.0,2.0,2.0,0.045,0.69,1125.0,113.52,114.38,103.25,101.15,134.0,582459.0,0.22,0.08,13.9,14.7
10,20/12/2026,Base,Fixed Income,Corporate Bond,4.54,9.49,124.34,98.9,0.044,1.42,0.26,0.084,0.038,0.022,0.26,0.3,0.44,0.073,8.0,5.0,106.0,0.038,3.0,2.0,3.0,0.015,0.69,954.0,114.25,115.15,102.17,100.8,145.0,562735.0,0.26,0.06,11.9,13.1
11,02/01/2025,Stressed,Derivative,Option,6.6,9.23,117.47,127.61,0.042,0.89,0.29,0.096,0.094,0.07,0.4,0.24,0.36,0.075,6.0,7.0,103.0,0.044,2.0,1.0,2.0,0.025,0.62,952.0,106.38,107.49,116.67,115.56,134.0,657152.0,0.26,0.05,12.2,13.6
12,23/06/2025,Monte Carlo,Alternative,Private Equity,7.29,7.14,116.55,114.77,0.023,2.4,0.25,0.045,0.085,0.032,0.21,0.5,0.29,0.061,7.0,6.0,109.0,0.042,2.0,2.0,2.0,0.016,0.61,1168.0,112.21,114.04,115.57,114.63,146.0,639182.0,0.25,0.06,14.6,14.8
13,27/07/2026,Stressed,Fixed Income,Corporate Bond,6.98,9.8,125.66,114.51,0.042,1.51,0.37,0.064,0.092,0.079,0.34,0.28,0.38,0.042,7.0,7.0,105.0,0.043,2.0,1.0,2.0,0.021,0.5,1062.0,97.77,98.62,113.88,111.97,131.0,581520.0,0.25,0.06,11.0,11.8
14,13/08/2026,Base,Alternative,Real Estate,5.9,6.02,104.07,120.14,0.046,2.41,0.28,0.08,0.064,0.068,0.27,0.27,0.46,0.052,4.0,5.0,107.0,0.038,1.0,2.0,1.0,0.035,0.41,1018.0,106.29,106.83,112.85,112.08,139.0,510057.0,0.24,0.05,11.6,13.1
15,08/03/2026,Monte Carlo,Commodity,Oil,5.26,6.33,90.78,111.58,0.05,1.2,0.33,0.082,0.072,0.08,0.48,0.26,0.26,0.031,5.0,5.0,107.0,0.041,1.0,2.0,3.0,0.017,0.58,1124.0,97.29,99.02,119.29,118.57,131.0,562391.0,0.27,0.08,12.0,13.4
16,05/11/2025,Base,Equity,Common Stock,8.25,8.4,94.84,129.35,0.043,1.19,0.29,0.05,0.06,0.047,0.45,0.45,0.1,0.035,8.0,7.0,108.0,0.044,2.0,2.0,3.0,0.021,0.64,1061.0,104.67,105.82,114.62,113.58,147.0,666146.0,0.21,0.08,11.2,12.1
17,30/01/2025,Base,Alternative,Real Estate,6.47,7.3,109.5,104.19,0.028,1.06,0.32,0.09,0.064,0.061,0.26,0.27,0.47,0.05,6.0,5.0,105.0,0.044,2.0,1.0,2.0,0.026,0.47,1099.0,102.38,103.71,106.88,104.39,141.0,570362.0,0.25,0.05,11.2,12.6
18,08/12/2026,Stressed,Derivative,Option,4.93,6.87,109.37,118.98,0.049,1.55,0.26,0.028,0.036,0.038,0.25,0.2,0.55,0.057,5.0,8.0,106.0,0.044,1.0,3.0,2.0,0.045,0.57,1041.0,103.81,104.59,101.03,98.65,140.0,664423.0,0.24,0.04,13.1,13.2
19,29/03/2025,Monte Carlo,Fixed Income,Municipal Bond,8.97,6.47,120.58,114.25,0.044,0.95,0.3,0.056,0.055,0.089,0.5,0.29,0.21,0.061,6.0,7.0,109.0,0.034,1.0,2.0,1.0,0.017,0.42,901.0,104.01,105.4,105.83,104.87,144.0,640598.0,0.25,0.07,14.6,16.2
